"i","j","k","d_ik","d_ij_plus_jk","excess"
2,8,10,13.2235709118336,11.6563958528685,1.56717505896515
10,8,2,13.2235709118336,11.6563958528685,1.56717505896515
7,11,12,12.2772327817285,10.713260438042,1.56397234368644
12,11,7,12.2772327817285,10.713260438042,1.56397234368644
5,14,13,29.5090752021275,28.0365162032988,1.47255899882875
13,14,5,29.5090752021275,28.0365162032988,1.47255899882875
3,14,13,31.7337689116225,30.3398742877333,1.39389462388919
13,14,3,31.7337689116225,30.3398742877333,1.39389462388919
8,12,11,23.4776554554235,22.0935582633944,1.38409719202913
11,12,8,23.4776554554235,22.0935582633944,1.38409719202913
7,2,9,24.8171545499254,23.4594676771822,1.35768687274319
9,2,7,24.8171545499254,23.4594676771822,1.35768687274319
1,3,4,30.5829486093367,29.3047464202447,1.27820218909201
4,3,1,30.5829486093367,29.3047464202447,1.27820218909201
7,12,13,15.1929734735339,13.928127646909,1.26484582662486
13,12,7,15.1929734735339,13.928127646909,1.26484582662486
11,12,14,8.97198211520845,7.72331389898563,1.24866821622281
14,12,11,8.97198211520845,7.72331389898563,1.24866821622281
9,2,15,38.6095922998207,37.3631934291933,1.24639887062741
15,2,9,38.6095922998207,37.3631934291933,1.24639887062741
10,1,11,34.6568613133229,33.424573084764,1.23228822855891
11,1,10,34.6568613133229,33.424573084764,1.23228822855891
2,14,4,47.2283298558193,46.0634154679512,1.16491438786812
4,14,2,47.2283298558193,46.0634154679512,1.16491438786812
2,7,3,33.8928251784393,32.7618342891553,1.13099088928399
3,7,2,33.8928251784393,32.7618342891553,1.13099088928399
2,7,5,31.6991393832712,30.5696665593654,1.12947282390583
5,7,2,31.6991393832712,30.5696665593654,1.12947282390583
2,1,6,18.0516531899317,17.2208842363208,0.830768953610821
6,1,2,18.0516531899317,17.2208842363208,0.830768953610821
7,11,13,15.1929734735339,14.3851957818834,0.807777691650449
13,11,7,15.1929734735339,14.3851957818834,0.807777691650449
3,1,13,31.7337689116225,30.9382307144725,0.795538197150002
13,1,3,31.7337689116225,30.9382307144725,0.795538197150002
8,1,12,18.7403491852513,17.9637185377781,0.776630647473173
12,1,8,18.7403491852513,17.9637185377781,0.776630647473173
2,3,4,47.2283298558193,46.4891069386107,0.739222917208565
4,3,2,47.2283298558193,46.4891069386107,0.739222917208565
5,1,13,29.5090752021275,28.8345817799417,0.674493422185769
13,1,5,29.5090752021275,28.8345817799417,0.674493422185769
2,13,11,18.1806246999203,17.5261619390278,0.6544627608925
11,13,2,18.1806246999203,17.5261619390278,0.6544627608925
5,11,12,27.7464545209453,27.1348505752357,0.611603945709636
12,11,5,27.7464545209453,27.1348505752357,0.611603945709636
4,12,13,49.2251739066669,48.6628787276461,0.562295179020794
13,12,4,49.2251739066669,48.6628787276461,0.562295179020794
3,11,12,29.7477419688643,29.213884317403,0.533857651461314
12,11,3,29.7477419688643,29.213884317403,0.533857651461314
8,2,12,18.7403491852513,18.2537113901676,0.486637795083677
12,2,8,18.7403491852513,18.2537113901676,0.486637795083677
4,5,11,43.6455133621238,43.1655226312267,0.479990730897086
11,5,4,43.6455133621238,43.1655226312267,0.479990730897086
6,8,14,20.7269852056854,20.3349928850508,0.391992320634568
14,8,6,20.7269852056854,20.3349928850508,0.391992320634568
6,1,7,17.293528780025,16.9307845108896,0.362744269135451
7,1,6,17.293528780025,16.9307845108896,0.362744269135451
3,12,13,31.7337689116225,31.3986368340449,0.335132077577661
13,12,3,31.7337689116225,31.3986368340449,0.335132077577661
4,5,13,49.2251739066669,48.8929563362617,0.332217570405234
13,5,4,49.2251739066669,48.8929563362617,0.332217570405234
3,5,6,13.4419045899579,13.1817630976249,0.260141492333036
6,5,3,13.4419045899579,13.1817630976249,0.260141492333036
2,13,12,12.3352848773268,12.1519123822238,0.183372495102928
12,13,2,12.3352848773268,12.1519123822238,0.183372495102928
5,12,13,29.5090752021275,29.3973493861258,0.111725816001702
13,12,5,29.5090752021275,29.3973493861258,0.111725816001702
4,11,12,47.0119838624656,46.9987224402669,0.0132614221986884
12,11,4,47.0119838624656,46.9987224402669,0.0132614221986884
